CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
19453,22,112,1-22-2020-112-07,7,1,10,87.6310552462787,12,5
19457,19,153,1-19-2020-153-03,3,1,1,82.0683899358432,9,5
19459,76,78,1-76-2020-078-02,2,1,99,14.8756328479644,3,5
19833,76,88,1-76-2020-088-02,2,1,10,14.8756328479644,3,5
20006,27,92,1-27-2020-092-05,5,1,3,50.5313554107575,3,5
16409,25,12,1-25-2020-012-07,7,1,9,1424.632187716,2,5
16410,13,12,1-13-2020-012-03,3,1,10,831.54894244499,7,5
16400,13,10,1-13-2020-010-07,7,1,10,4209.84907748539,7,5
19632,22,117,1-22-2020-117-10,10,1,8,602.080808184327,12,5
19633,22,118,1-22-2020-118-07,7,1,9,123.240855418124,12,5
19635,29,159,1-29-2020-159-06,6,1,99,75.6128661639851,2,5
19810,29,164,1-29-2020-164-06,6,1,3,123.39910949324,2,5
20147,17,127,1-17-2020-127-07,7,1,9,871.315799953591,4,5
16577,33,10,1-33-2020-010-03,3,1,8,77.8543019317864,12,5
16546,25,16,1-25-2020-016-04,4,2,7,928.030401636755,2,5
16334,14,7,1-14-2020-007-03,3,1,9,3613.35145717326,8,5
16336,17,11,1-17-2020-011-04,4,1,9,895.239446849407,4,5
16338,77,15,1-77-2020-015-02,2,1,1,82.8182922699722,9,5
16274,32,12,1-32-2020-012-02,2,1,1,41.6863174651544,7,5
16180,32,7,1-32-2020-007-05,5,1,9,79.4434646239904,7,5
16827,32,38,1-32-2020-038-03,3,1,10,842.042410279515,7,5
16828,76,23,1-76-2020-023-10,10,2,99,28.3828088997797,3,5
16185,73,4,1-73-2020-004-01,1,2,1,39.290329933404,3,5
16612,10,34,1-10-2020-034-03,3,1,3,160.160047899502,4,5
16303,29,13,1-29-2020-013-05,5,1,10,104.714598881211,2,5
20230,25,136,1-25-2020-136-04,4,2,10,1171.82805969763,2,5
19946,21,148,1-21-2020-148-03,3,1,99,200.145480388774,11,5
20027,26,169,1-26-2020-169-03,3,1,6,628.988376224915,10,5
20035,21,154,1-21-2020-154-01,1,1,1,31.5795971995564,11,5
16834,25,23,1-25-2020-023-03,3,1,99,355.487048647694,2,5
16899,24,41,1-24-2020-041-06,6,1,8,179.410485972823,1,5
20172,32,188,1-32-2020-188-05,5,1,3,98.6395109806555,7,5
17733,24,77,1-24-2020-077-09,9,1,99,336.94380966631,1,5
17734,24,78,1-24-2020-078-06,6,1,1,124.482330667745,1,5
20315,19,190,1-19-2020-190-08,8,1,9,95.1571097814796,9,5
20489,17,133,1-17-2020-133-10,10,1,1,85.4910129055112,4,5
19955,20,90,1-20-2020-090-03,3,1,1,225.117769982155,11,5
16910,59,8,1-59-2020-008-07,7,1,2,238.604161072413,6,5
16958,18,18,1-18-2020-018-09,9,1,8,279.340631988138,6,5
