CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,DISTRACTN,CASEWGT,PSUSTRAT,VERSION
16054,31,1,1-31-2020-001-04,4,1,9,9939.54630849305,6,5
16071,33,1,1-33-2020-001-06,6,1,1,81.6297120340833,12,5
17382,27,30,1-27-2020-030-07,7,1,7,275.877892817513,3,5
17383,27,31,1-27-2020-031-03,3,2,2,41.6809040786713,3,5
19326,52,158,1-52-2020-158-03,3,1,8,42.3090017571437,12,5
19249,73,82,1-73-2020-082-02,2,1,1,34.1677195360008,3,5
19251,32,145,1-32-2020-145-09,9,1,99,3471.40733848943,7,5
19624,18,78,1-18-2020-078-03,3,2,9,295.408448834233,6,5
19628,30,142,1-30-2020-142-04,4,1,99,1056.89796398809,10,5
19200,29,138,1-29-2020-138-06,6,1,99,33.1862807502151,2,5
19201,29,139,1-29-2020-139-09,9,1,99,130.706577809314,2,5
18670,77,74,1-77-2020-074-05,5,1,99,283.398243327366,9,5
18502,13,75,1-13-2020-075-02,2,1,99,39.0280122766679,7,5
19436,32,155,1-32-2020-155-08,8,1,1,433.114470813679,7,5
19437,32,156,1-32-2020-156-07,7,1,7,3016.65013536871,7,5
17505,22,45,1-22-2020-045-09,9,1,9,119.024990167314,12,5
17804,22,53,1-22-2020-053-09,9,1,8,158.438481376136,12,5
18805,24,123,1-24-2020-123-07,7,1,99,471.437852214306,1,5
18467,10,110,1-10-2020-110-07,7,1,10,528.627295207233,4,5
18468,10,111,1-10-2020-111-06,6,1,10,181.075070225432,4,5
19276,18,71,1-18-2020-071-04,4,1,7,219.506061197231,6,5
19280,29,144,1-29-2020-144-07,7,1,7,151.002579130017,2,5
17563,66,31,1-66-2020-031-03,3,2,10,140.953738801805,6,5
17823,11,38,1-11-2020-038-03,3,1,9,1770.73771507667,8,5
16019,77,2,1-77-2020-002-02,2,1,9,127.519241622658,9,5
18682,19,120,1-19-2020-120-08,8,1,1,121.012474455266,9,5
18684,76,61,1-76-2020-061-02,2,1,99,15.5195165531956,3,5
18551,25,80,1-25-2020-080-06,6,1,6,210.19108541494,2,5
18799,17,96,1-17-2020-096-03,3,1,6,237.303579962204,4,5
15983,18,1,1-18-2020-001-04,4,1,10,278.429574257875,6,5
15991,21,1,1-21-2020-001-09,9,1,99,565.984367906688,11,5
18385,14,51,1-14-2020-051-03,3,1,9,1260.041240467,8,5
18945,21,114,1-21-2020-114-02,2,1,1,11.7341995346105,11,5
18913,59,50,1-59-2020-050-02,2,1,2,48.5689789823997,6,5
19241,25,106,1-25-2020-106-09,9,1,99,1205.02739719637,2,5
16671,33,12,1-33-2020-012-03,3,1,10,104.781363613924,12,5
16672,33,13,1-33-2020-013-05,5,1,1,30.0821504487588,12,5
16674,22,17,1-22-2020-017-06,6,1,10,68.8711823944948,12,5
17887,15,50,1-15-2020-050-05,5,1,99,10.085672768252,1,5
17890,22,54,1-22-2020-054-10,10,1,99,987.278155774546,12,5
17872,33,52,1-33-2020-052-06,6,1,10,103.938907527269,12,5
17874,31,37,1-31-2020-037-09,9,1,9,478.158887450759,6,5
17875,19,79,1-19-2020-079-08,8,1,1,53.1453761107126,9,5
16265,48,5,1-48-2020-005-07,7,1,99,175.541860572733,12,5
16223,22,5,1-22-2020-005-04,4,1,10,387.288888872717,12,5
18389,54,23,1-54-2020-023-10,10,1,9,6557.81033334714,9,5
18071,33,58,1-33-2020-058-09,9,1,1,307.059662370825,12,5
18424,31,45,1-31-2020-045-05,5,1,1,269.923354614168,6,5
19052,10,139,1-10-2020-139-08,8,1,9,110.980498101505,4,5
19053,54,30,1-54-2020-030-03,3,1,1,191.431249623013,9,5
19349,26,140,1-26-2020-140-09,9,1,9,2422.74364747904,10,5
19477,30,137,1-30-2020-137-05,5,1,1,36.4285881374342,10,5
19247,16,112,1-16-2020-112-06,6,1,1,1064.09849003736,5,5
19440,16,116,1-16-2020-116-01,1,1,10,42.7109676011966,5,5
19440,16,116,1-16-2020-116-01,1,2,99,42.7109676011966,5,5
19441,27,76,1-27-2020-076-06,6,1,1,62.615694203874,3,5
19563,73,91,1-73-2020-091-09,9,1,99,387.523921430485,3,5
19904,52,186,1-52-2020-186-09,9,1,2,51.075340218339,12,5
18812,25,90,1-25-2020-090-03,3,1,99,59.4455927942578,2,5
19912,66,84,1-66-2020-084-06,6,1,1,130.808569334625,6,5
19889,17,119,1-17-2020-119-04,4,1,10,399.231985056283,4,5
18419,27,55,1-27-2020-055-04,4,2,9,129.439550502024,3,5
18421,18,51,1-18-2020-051-05,5,2,1,57.4865885735629,6,5
18400,28,52,1-28-2020-052-03,3,1,1,34.2731829497023,3,5
18402,16,82,1-16-2020-082-04,4,1,3,1378.13648736711,5,5
18403,16,83,1-16-2020-083-07,7,1,10,2137.84854891679,5,5
18982,52,140,1-52-2020-140-04,4,1,3,173.633020957875,12,5
18984,25,95,1-25-2020-095-07,7,1,3,395.824272888714,2,5
18712,10,122,1-10-2020-122-04,4,1,99,561.989032819775,4,5
18714,10,124,1-10-2020-124-03,3,1,3,706.096147433465,4,5
18714,10,124,1-10-2020-124-03,3,2,8,706.096147433465,4,5
18718,17,93,1-17-2020-093-07,7,1,5,584.347971837555,4,5
18721,11,61,1-11-2020-061-03,3,1,9,2171.69212796621,8,5
18722,24,116,1-24-2020-116-03,3,1,2,307.293879622808,1,5
18696,30,105,1-30-2020-105-03,3,1,9,359.67676360952,10,5
18701,15,78,1-15-2020-078-03,3,1,99,32.0407637145065,1,5
18702,21,101,1-21-2020-101-02,2,1,1,42.3769951614415,11,5
18412,32,103,1-32-2020-103-06,6,1,3,1378.25180729978,7,5
17954,59,30,1-59-2020-030-05,5,1,9,97.4660716944817,6,5
18929,66,61,1-66-2020-061-09,9,2,99,214.416426866456,6,5
18903,24,128,1-24-2020-128-03,3,1,99,99.1478373423319,1,5
18904,73,73,1-73-2020-073-03,3,1,6,84.395338138242,3,5
18885,48,50,1-48-2020-050-04,4,1,9,484.305147666414,12,5
18885,48,50,1-48-2020-050-04,4,1,1,484.305147666414,12,5
18871,28,64,1-28-2020-064-04,4,1,1,133.666934832956,3,5
18918,26,124,1-26-2020-124-03,3,1,10,229.905843372118,10,5
18928,66,60,1-66-2020-060-03,3,1,5,101.661767199215,6,5
19078,11,70,1-11-2020-070-09,9,1,99,4957.6378092879,8,5
19079,59,52,1-59-2020-052-02,2,1,10,92.9472335926849,6,5
18890,73,72,1-73-2020-072-09,9,1,5,551.7693555412,3,5
18892,10,130,1-10-2020-130-01,1,1,10,47.8020864592586,4,5
19890,17,120,1-17-2020-120-10,10,1,1,2681.03903185749,4,5
19843,12,93,1-12-2020-093-03,3,1,10,836.465002508724,9,5
19084,32,135,1-32-2020-135-01,1,2,5,55.6796763203253,7,5
19084,32,135,1-32-2020-135-01,1,2,3,55.6796763203253,7,5
19114,27,70,1-27-2020-070-03,3,1,1,36.1853297098496,3,5
17841,25,54,1-25-2020-054-06,6,2,10,102.398376868648,2,5
19099,33,67,1-33-2020-067-04,4,1,10,169.337631412225,12,5
20125,14,93,1-14-2020-093-03,3,2,3,1343.33949363778,8,5
20125,14,93,1-14-2020-093-03,3,2,10,1343.33949363778,8,5
19740,17,117,1-17-2020-117-09,9,1,8,850.587412197415,4,5
17992,33,54,1-33-2020-054-06,6,1,1,94.1219749053795,12,5
17995,22,59,1-22-2020-059-10,10,1,1,56.797592428433,12,5
17658,73,38,1-73-2020-038-03,3,1,9,55.4231389277233,3,5
18022,10,91,1-10-2020-091-03,3,1,1,176.188805900644,4,5
17669,26,76,1-26-2020-076-07,7,1,1,1596.73227686307,10,5
17676,76,39,1-76-2020-039-09,9,1,99,20.3205194306157,3,5
17590,23,26,1-23-2020-026-03,3,1,9,213.963532493374,5,5
18370,20,50,1-20-2020-050-02,2,1,99,125.126985822687,11,5
18054,25,58,1-25-2020-058-06,6,1,99,460.674888036835,2,5
18004,20,42,1-20-2020-042-02,2,1,9,87.07805279924,11,5
18007,17,78,1-17-2020-078-09,9,1,3,491.398917845559,4,5
18086,15,55,1-15-2020-055-03,3,1,1,18.619027066652,1,5
18087,15,56,1-15-2020-056-04,4,1,99,55.9485003737937,1,5
18065,19,87,1-19-2020-087-04,4,1,10,301.928146929996,9,5
17768,21,65,1-21-2020-065-02,2,1,1,34.881400640758,11,5
18039,52,97,1-52-2020-097-05,5,1,99,24.7078982723699,12,5
18040,52,98,1-52-2020-098-04,4,1,10,323.960101740463,12,5
17703,19,74,1-19-2020-074-08,8,1,7,76.7577466679799,9,5
17707,20,35,1-20-2020-035-03,3,1,9,852.561919437809,11,5
18124,73,49,1-73-2020-049-10,10,1,9,1322.34271979761,3,5
16874,13,23,1-13-2020-023-06,6,1,3,882.439978964505,7,5
17786,33,49,1-33-2020-049-06,6,1,9,40.9779913164255,12,5
18173,21,78,1-21-2020-078-05,5,1,1,31.5795971995564,11,5
18178,30,76,1-30-2020-076-05,5,1,1,50.4722118136646,10,5
18433,19,106,1-19-2020-106-03,3,1,1,162.666589789319,9,5
18437,22,75,1-22-2020-075-09,9,1,9,173.596761997583,12,5
18148,19,91,1-19-2020-091-09,9,1,99,611.606315965053,9,5
18149,19,92,1-19-2020-092-08,8,1,1,87.9613302685543,9,5
18744,66,57,1-66-2020-057-03,3,1,9,101.661767199215,6,5
18947,21,116,1-21-2020-116-06,6,1,99,372.465729192721,11,5
18935,29,126,1-29-2020-126-07,7,1,10,112.651664606314,2,5
18781,22,85,1-22-2020-085-05,5,1,1,38.6560699261779,12,5
18836,19,127,1-19-2020-127-04,4,1,10,176.377504584065,9,5
18836,19,127,1-19-2020-127-04,4,1,8,176.377504584065,9,5
19462,26,145,1-26-2020-145-06,6,1,2,2209.38584960684,10,5
19377,22,108,1-22-2020-108-03,3,1,9,47.5657163869599,12,5
18157,18,44,1-18-2020-044-03,3,1,99,80.3385692412094,6,5
18159,29,95,1-29-2020-095-03,3,1,1,85.4802505447714,2,5
17138,18,21,1-18-2020-021-06,6,2,10,102.568819408639,6,5
17139,18,22,1-18-2020-022-04,4,1,4,155.406752529768,6,5
17144,30,34,1-30-2020-034-08,8,1,3,128.656796937435,10,5
18620,19,116,1-19-2020-116-04,4,2,8,120.770971956686,9,5
18621,22,80,1-22-2020-080-06,6,1,9,262.044942123582,12,5
18596,31,49,1-31-2020-049-06,6,1,10,260.857376222116,6,5
18600,18,54,1-18-2020-054-04,4,1,3,701.753991029461,6,5
18602,19,112,1-19-2020-112-08,8,1,1,52.5663000327448,9,5
18584,66,51,1-66-2020-051-06,6,1,8,130.808569334625,6,5
18585,66,52,1-66-2020-052-07,7,1,99,324.985405744638,6,5
19448,33,70,1-33-2020-070-02,2,1,6,22.5431965287913,12,5
19148,52,149,1-52-2020-149-03,3,1,9,22.3123065945956,12,5
19152,10,141,1-10-2020-141-05,5,1,1,33.0121701346468,4,5
19614,19,161,1-19-2020-161-03,3,1,7,133.384732642837,9,5
19616,66,78,1-66-2020-078-04,4,1,10,381.590524360326,6,5
19618,31,74,1-31-2020-074-10,10,1,1,350.224747976596,6,5
20086,16,121,1-16-2020-121-03,3,1,10,227.265001908066,5,5
20038,26,171,1-26-2020-171-03,3,1,2,628.988376224915,10,5
19929,18,88,1-18-2020-088-03,3,1,1,192.548604590016,6,5
20100,19,180,1-19-2020-180-09,9,1,3,638.989211348547,9,5
19406,54,35,1-54-2020-035-03,3,1,10,937.823042476366,9,5
19407,14,74,1-14-2020-074-03,3,2,10,1034.68667580939,8,5
19407,14,74,1-14-2020-074-03,3,2,8,1034.68667580939,8,5
19779,20,83,1-20-2020-083-02,2,1,1,87.07805279924,11,5
20179,27,96,1-27-2020-096-03,3,2,10,37.0520669410764,3,5
19137,48,55,1-48-2020-055-07,7,1,2,585.148840156735,12,5
19137,48,55,1-48-2020-055-07,7,1,10,585.148840156735,12,5
20309,76,99,1-76-2020-099-09,9,1,99,20.3205194306157,3,5
18972,11,66,1-11-2020-066-02,2,1,5,77.1543052356597,8,5
19966,77,106,1-77-2020-106-03,3,1,1,1372.78176337457,9,5
19971,54,43,1-54-2020-043-04,4,1,1,179.201109639916,9,5
19881,77,104,1-77-2020-104-04,4,1,2,686.68551479932,9,5
19882,10,177,1-10-2020-177-01,1,1,99,20.7611405952343,4,5
19884,10,179,1-10-2020-179-07,7,1,99,822.841330127463,4,5
20442,76,102,1-76-2020-102-08,8,1,99,19.8025064264131,3,5
18359,21,87,1-21-2020-087-02,2,1,1,34.881400640758,11,5
18323,25,69,1-25-2020-069-05,5,1,1,62.9921106664966,2,5
19962,13,110,1-13-2020-110-02,2,1,99,28.3282048601079,7,5
19990,25,129,1-25-2020-129-03,3,1,10,238.518284500225,2,5
19674,25,123,1-25-2020-123-07,7,1,99,1332.59319076291,2,5
19675,25,124,1-25-2020-124-04,4,1,9,901.490464828205,2,5
20077,59,63,1-59-2020-063-08,8,1,9,1405.16821001253,6,5
19868,21,146,1-21-2020-146-03,3,1,9,167.932817649701,11,5
17441,24,63,1-24-2020-063-04,4,1,10,501.94867333163,1,5
19556,76,81,1-76-2020-081-03,3,1,99,16.5199357957095,3,5
19558,29,156,1-29-2020-156-10,10,1,9,1042.95611946111,2,5
19954,29,170,1-29-2020-170-06,6,1,9,90.1206971356379,2,5
20281,10,198,1-10-2020-198-03,3,1,10,733.719498192067,4,5
18823,73,69,1-73-2020-069-09,9,1,1,74.7507789484778,3,5
18848,22,90,1-22-2020-090-06,6,1,99,60.7862794369725,12,5
18851,15,83,1-15-2020-083-04,4,1,9,52.7023306594741,1,5
19222,17,106,1-17-2020-106-06,6,1,99,212.143918369712,4,5
18704,21,103,1-21-2020-103-05,5,4,10,78.7760056522694,11,5
18707,22,84,1-22-2020-084-09,9,1,1,105.417859466215,12,5
18974,24,129,1-24-2020-129-03,3,1,9,261.035695509301,1,5
19254,59,54,1-59-2020-054-05,5,1,1,212.97930073613,6,5
19127,30,124,1-30-2020-124-04,4,1,6,1338.45140683048,10,5
19128,13,90,1-13-2020-090-08,8,1,99,520.718431084921,7,5
18733,16,99,1-16-2020-099-03,3,2,3,496.012345512025,5,5
18735,73,68,1-73-2020-068-09,9,1,1,136.103983787544,3,5
18737,25,86,1-25-2020-086-06,6,2,3,188.274399843166,2,5
18863,77,77,1-77-2020-077-08,8,1,9,411.97074658557,9,5
20220,11,98,1-11-2020-098-01,1,2,5,84.1646876922519,8,5
19607,12,86,1-12-2020-086-03,3,1,1,777.900705156047,9,5
18898,25,94,1-25-2020-094-06,6,1,8,150.692908355043,2,5
19494,17,112,1-17-2020-112-09,9,1,99,825.908046214499,4,5
19166,27,71,1-27-2020-071-05,5,1,1,40.6585217864467,3,5
19172,66,65,1-66-2020-065-09,9,1,99,1070.77714847139,6,5
19105,29,132,1-29-2020-132-06,6,1,1,76.421568083597,2,5
19106,29,133,1-29-2020-133-03,3,1,9,37.5244433377617,2,5
19107,29,134,1-29-2020-134-04,4,1,99,75.7433875192076,2,5
17716,77,50,1-77-2020-050-03,3,2,9,870.995263328504,9,5
17716,77,50,1-77-2020-050-03,3,1,3,870.995263328504,9,5
17717,77,51,1-77-2020-051-05,5,1,1,112.559048029248,9,5
17721,10,82,1-10-2020-082-04,4,1,8,484.762567023067,4,5
18165,22,64,1-22-2020-064-10,10,1,9,756.843192171865,12,5
18166,22,65,1-22-2020-065-09,9,1,6,148.211084853025,12,5
18167,22,66,1-22-2020-066-10,10,1,9,756.843192171865,12,5
18167,22,66,1-22-2020-066-10,10,1,99,756.843192171865,12,5
18168,33,59,1-33-2020-059-06,6,1,2,83.7433780869698,12,5
20114,22,139,1-22-2020-139-07,7,1,2,128.635277874745,12,5
19738,14,83,1-14-2020-083-03,3,1,2,1014.89743631484,8,5
18379,54,22,1-54-2020-022-04,4,1,3,332.056223932178,9,5
18221,28,48,1-28-2020-048-06,6,1,1,44.099430412312,3,5
17876,19,80,1-19-2020-080-02,2,1,10,44.8387754761066,9,5
18604,19,114,1-19-2020-114-09,9,1,99,224.943463107409,9,5
18777,21,105,1-21-2020-105-04,4,1,1,1037.40302849996,11,5
19008,19,133,1-19-2020-133-03,3,1,99,129.146939714291,9,5
19652,14,80,1-14-2020-080-01,1,1,99,188.773611723321,8,5
19652,14,80,1-14-2020-080-01,1,1,10,188.773611723321,8,5
18205,17,83,1-17-2020-083-06,6,1,99,416.55518176818,4,5
18211,11,46,1-11-2020-046-08,8,1,8,499.911326265923,8,5
18212,11,47,1-11-2020-047-07,7,1,3,3557.65293253277,8,5
19331,28,77,1-28-2020-077-04,4,1,1,195.559409656667,3,5
19333,76,75,1-76-2020-075-09,9,1,1,20.3205194306157,3,5
18197,77,62,1-77-2020-062-01,1,1,9,137.699144407547,9,5
18201,10,100,1-10-2020-100-04,4,1,5,410.513861435004,4,5
